iter	Passed	Remaining
0	2	198
1	3	184
2	5	180
3	7	174
4	8	168
5	10	165
6	12	161
7	13	158
8	15	159
9	17	158
10	19	156
11	21	154
12	22	152
13	24	151
14	26	149
15	28	149
16	29	146
17	32	145
18	34	146
19	35	143
20	37	139
21	38	136
22	40	135
23	42	135
24	44	134
25	47	134
26	49	134
27	51	133
28	53	132
29	56	131
30	58	130
31	60	129
32	62	127
33	65	126
34	66	124
35	69	123
36	71	121
37	72	118
38	74	116
39	76	115
40	78	113
41	80	111
42	82	109
43	83	106
44	85	104
45	86	101
46	88	99
47	89	97
48	91	95
49	92	92
50	94	90
51	95	88
52	98	86
53	99	84
54	101	82
55	102	80
56	103	78
57	105	76
58	106	74
59	107	71
60	109	69
61	110	67
62	111	65
63	112	63
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	119	51
70	120	49
71	121	47
72	121	45
73	122	43
74	124	41
75	125	39
76	126	37
77	127	35
78	128	34
79	129	32
80	130	30
81	132	28
82	133	27
83	134	25
84	135	23
85	136	22
86	137	20
87	138	18
88	140	17
89	141	15
90	142	14
91	143	12
92	145	10
93	146	9
94	147	7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
